No,画面名,分類,説明,備考（ファイル名）
1,ログイン画面,認証,メールアドレスとパスワードでログインする画面,devise/sessions/new.html.erb
2,ユーザー登録画面,認証,新規ユーザーをメールアドレス・パスワードで登録する画面,devise/registrations/new.html.erb
3,パスワード変更画面,認証,ログイン中のユーザーがパスワードを変更する画面,devise/registrations/edit.html.erb
4,備品一覧画面,備品管理,備品の一覧をキーワード・カテゴリ・ステータスでフィルタ・ソート・ページネーション表示する画面,equipments/index.html.erb
5,備品詳細画面,備品管理,選択した備品の詳細情報（名称・カテゴリ・ステータス・在庫数等）を表示する画面,equipments/show.html.erb
6,備品登録画面,備品管理,新しい備品を登録するフォーム画面（管理者のみ）,equipments/new.html.erb
7,備品編集画面,備品管理,既存の備品情報を編集するフォーム画面（管理者のみ）,equipments/edit.html.erb
8,貸出申請画面,貸出管理,備品の貸出申請を行うフォーム画面（数量・返却予定日を入力）,loans/new.html.erb
9,貸出一覧画面,貸出管理,貸出履歴をキーワード・ステータス・日付でフィルタ・ページネーション表示する画面,loans/index.html.erb
10,マイページ,マイページ,ログイン中のユーザーの現在貸出中備品と過去の貸出履歴を表示する画面,mypages/show.html.erb
11,管理者ダッシュボード,管理者,カテゴリ別在庫サマリーと延滞一覧を表示する管理者向けダッシュボード画面,admin/dashboards/show.html.erb
12,ユーザー管理一覧画面,管理者,システムに登録されたユーザーの一覧を表示する管理者向け画面,admin/users/index.html.erb
13,ユーザー登録画面（管理者）,管理者,管理者が新規ユーザーをアカウント登録するフォーム画面,admin/users/new.html.erb
14,ユーザー編集画面（管理者）,管理者,管理者が既存ユーザーの情報（名前・メール・権限等）を編集するフォーム画面,admin/users/edit.html.erb
